,date,3hrKp,6hrKp,9hrKp,12hrKp,15hrKp,18hrKp,21hrKp,24hrKp,27hrKp,30hrKp,33hrKp,36hrKp,39hrKp,42hrKp,45hrKp,48hrKp,51hrKp,54hrKp,57hrKp,60hrKp,63hrKp,66hrKp,69hrKp,72hrKp
89,2023-02-10,2.33,2.67,2.33,2.0,1.67,1.33,1.67,2.0,1.67,1.33,1.67,1.67,1.33,1.33,1.33,1.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
90,2023-02-11,2.33,2.0,2.33,2.33,2.33,2.33,2.0,2.0,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,2.0,2.0,2.0,1.0,1.0,1.0,1.33,1.33
91,2023-02-12,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67,2.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.67
92,2023-02-13,2.0,2.0,1.0,1.0,1.0,2.67,3.33,4.0,4.0,3.0,3.67,2.0,2.0,3.0,3.0,3.67,2.33,3.0,2.67,2.0,1.33,1.0,1.67,2.0
93,2023-02-14,3.67,3.0,3.67,2.0,2.0,3.0,3.0,3.33,2.33,3.0,2.67,2.0,1.33,1.0,1.67,2.0,1.67,1.67,1.33,1.33,1.33,1.33,1.67,1.33
94,2023-02-15,5.0,4.33,3.0,2.67,2.33,2.0,2.33,3.0,2.67,3.0,2.0,2.0,2.33,4.0,5.0,5.0,6.0,5.33,4.0,3.33,3.0,2.33,3.0,3.67
95,2023-02-16,2.67,3.0,2.0,2.0,2.33,4.0,5.0,5.0,6.0,5.33,4.0,3.33,3.0,2.33,3.0,3.67,3.67,3.67,3.0,3.0,2.0,1.67,1.67,1.67
96,2023-02-17,6.0,5.33,4.0,3.33,3.0,2.33,3.0,3.67,3.33,2.33,4.0,4.0,3.33,1.67,1.67,2.67,2.67,2.67,2.33,2.0,1.33,1.0,2.0,2.33
97,2023-02-18,4.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.67,4.0,3.67,2.67,3.0,2.0,1.0,1.33,2.0
98,2023-02-19,3.0,3.0,4.0,3.0,3.0,4.67,5.0,4.0,4.0,4.0,3.0,3.67,3.0,1.0,1.0,2.0,2.67,3.67,3.33,2.67,2.33,2.0,2.0,2.67
99,2023-02-20,3.67,3.67,3.0,2.67,2.33,1.67,2.67,3.33,2.67,3.67,3.33,2.67,2.33,2.0,2.0,2.67,2.67,2.0,2.33,2.33,2.33,2.67,2.33,2.33
100,2023-02-21,2.67,3.67,3.33,2.67,2.33,2.0,2.0,2.67,2.67,2.0,2.33,2.33,2.33,2.67,2.33,2.33,3.0,2.67,2.0,2.0,1.33,2.0,2.0,2.0
101,2023-02-22,2.67,2.33,2.0,1.67,1.33,1.67,1.67,2.33,2.0,1.67,2.0,2.0,1.33,2.0,2.33,2.67,2.67,2.33,2.67,2.33,2.0,2.33,2.67,2.0
102,2023-02-23,4.0,3.33,2.67,2.0,1.67,1.67,2.33,2.67,2.67,2.33,2.67,2.33,2.0,2.33,2.67,2.0,2.67,1.67,2.33,2.0,2.0,3.33,3.67,4.0
103,2023-02-24,2.67,2.33,2.67,2.0,2.0,1.67,2.0,2.0,2.33,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0,2.33,2.67,2.67,3.0,2.67,3.67
104,2023-02-25,3.33,2.33,2.33,2.33,2.33,3.33,4.33,5.33,5.33,6.0,4.67,4.33,3.67,3.33,3.33,3.67,4.67,4.33,4.0,4.0,3.0,3.0,3.0,3.33
105,2023-02-26,5.33,6.0,4.67,4.33,4.33,4.33,5.0,7.0,5.67,5.0,4.33,4.0,4.0,3.0,3.0,3.67,4.0,3.67,3.0,3.0,2.67,2.67,2.67,3.0
106,2023-02-27,6.0,5.67,5.0,4.0,3.33,3.0,3.33,2.67,4.0,3.67,3.0,3.0,2.67,2.67,2.67,3.0,2.67,2.0,2.33,2.33,2.33,2.67,2.67,2.33
107,2023-02-28,4.67,4.0,2.67,2.33,2.0,2.67,2.33,2.33,2.33,2.67,2.0,2.0,1.33,2.0,2.67,2.0,1.67,1.67,1.33,1.33,1.0,1.33,1.67,1.67
108,2023-03-01,2.0,2.67,2.33,1.67,1.33,1.67,2.0,2.33,1.67,1.67,1.33,1.33,1.0,1.33,1.67,1.67,2.33,2.33,3.33,3.67,3.0,2.67,1.67,1.67
109,2023-03-02,1.67,1.67,1.33,1.33,1.0,1.33,1.67,1.67,2.33,2.33,3.33,3.67,3.0,2.67,1.67,1.67,3.67,4.67,3.67,3.67,3.33,1.67,2.67,3.67
110,2023-03-03,3.67,3.67,3.33,3.33,2.33,2.33,3.0,3.0,3.67,4.67,4.33,3.67,3.33,1.67,2.67,3.67,4.67,4.33,3.67,3.67,3.0,2.33,2.33,3.0
111,2023-03-04,3.67,4.67,4.33,3.67,3.33,1.67,2.67,3.67,4.67,4.33,3.67,3.67,3.0,2.33,2.33,3.0,3.33,4.0,3.33,3.0,3.0,2.33,2.33,3.33
112,2023-03-05,4.67,4.33,3.67,3.67,3.0,2.33,2.33,3.0,3.33,4.0,3.33,3.0,3.0,2.33,2.33,3.33,3.0,2.33,2.0,2.0,1.67,1.67,2.0,2.33
113,2023-03-06,3.67,4.0,3.0,2.33,2.33,2.67,2.67,3.0,3.0,2.67,2.0,1.33,1.0,1.67,2.33,2.33,1.67,1.33,1.33,1.33,1.33,1.33,1.67,1.67
